"Time","proxy-server-6c7d596b95-28skc / default / PKG","yolo-server-798f5c5578-ll75h / default / PKG","proxy-server-6c7d596b95-28skc / default / DRAM","yolo-server-798f5c5578-ll75h / default / DRAM","proxy-server-6c7d596b95-28skc / default / OTHER","yolo-server-798f5c5578-ll75h / default / OTHER","proxy-server-6c7d596b95-28skc / default / GPU","yolo-server-798f5c5578-ll75h / default / GPU"
2024-07-09 22:00:32,0,0,0,0,0,0,0,0
2024-07-09 22:00:33,0,0,0,0,0,0,0,0
2024-07-09 22:00:34,0.363,39.9,0,0,0,0,0,0
2024-07-09 22:00:35,0,0,0,0,0,0,0,0
2024-07-09 22:00:36,0,0,0,0,0,0,0,0
2024-07-09 22:00:37,0.387,44.8,0,0,0,0,0,0
2024-07-09 22:00:38,0,0,0,0,0,0,0,0
2024-07-09 22:00:39,0,0,0,0,0,0,0,0
2024-07-09 22:00:40,0.414,42.0,0,0,0,0,0,0
2024-07-09 22:00:41,0,0,0,0,0,0,0,0
2024-07-09 22:00:42,0,0,0,0,0,0,0,0
2024-07-09 22:00:43,0.375,40.2,0,0,0,0,0,0
2024-07-09 22:00:44,0,0,0,0,0,0,0,0
2024-07-09 22:00:45,0,0,0,0,0,0,0,0
2024-07-09 22:00:46,0.408,39.3,0,0,0,0,0,0
2024-07-09 22:00:47,0,0,0,0,0,0,0,0
2024-07-09 22:00:48,0,0,0,0,0,0,0,0
2024-07-09 22:00:49,0.384,40.1,0,0,0,0,0,0
2024-07-09 22:00:50,0,0,0,0,0,0,0,0
2024-07-09 22:00:51,0,0,0,0,0,0,0,0
2024-07-09 22:00:52,0.426,38.0,0,0,0,0,0,0
2024-07-09 22:00:53,0,0,0,0,0,0,0,0
2024-07-09 22:00:54,0,0,0,0,0,0,0,0
2024-07-09 22:00:55,0.396,40.5,0,0,0,0,0,0
2024-07-09 22:00:56,0,0,0,0,0,0,0,0
2024-07-09 22:00:57,0,0,0,0,0,0,0,0
2024-07-09 22:00:58,0.342,38.3,0,0,0,0,0,0
2024-07-09 22:00:59,0,0,0,0,0,0,0,0
2024-07-09 22:01:00,0,0,0,0,0,0,0,0
2024-07-09 22:01:01,0.372,42.9,0,0,0,0,0,0
2024-07-09 22:01:02,0,0,0,0,0,0,0,0
2024-07-09 22:01:03,0,0,0,0,0,0,0,0
2024-07-09 22:01:04,0.360,37.9,0,0,0,0,0,0
2024-07-09 22:01:05,0,0,0,0,0,0,0,0
2024-07-09 22:01:06,0,0,0,0,0,0,0,0
2024-07-09 22:01:07,0.447,44.5,0,0,0,0,0,0
2024-07-09 22:01:08,0,0,0,0,0,0,0,0
2024-07-09 22:01:09,0,0,0,0,0,0,0,0
2024-07-09 22:01:10,0.414,42.9,0,0,0,0,0,0
2024-07-09 22:01:11,0,0,0,0,0,0,0,0
2024-07-09 22:01:12,0,0,0,0,0,0,0,0
2024-07-09 22:01:13,0.411,37.6,0,0,0,0,0,0
2024-07-09 22:01:14,0,0,0,0,0,0,0,0
2024-07-09 22:01:15,0,0,0,0,0,0,0,0
2024-07-09 22:01:16,0.459,39.8,0,0,0,0,0,0
2024-07-09 22:01:17,0,0,0,0,0,0,0,0
2024-07-09 22:01:18,0,0,0,0,0,0,0,0
2024-07-09 22:01:19,0.330,43.0,0,0,0,0,0,0
2024-07-09 22:01:20,0,0,0,0,0,0,0,0
2024-07-09 22:01:21,0,0,0,0,0,0,0,0
2024-07-09 22:01:22,0.417,34.8,0,0,0,0,0,0
2024-07-09 22:01:23,0,0,0,0,0,0,0,0
2024-07-09 22:01:24,0,0,0,0,0,0,0,0
2024-07-09 22:01:25,0.387,36.8,0,0,0,0,0,0
2024-07-09 22:01:26,0,0,0,0,0,0,0,0
2024-07-09 22:01:27,0,0,0,0,0,0,0,0
2024-07-09 22:01:28,0.474,43.3,0,0,0,0,0,0
2024-07-09 22:01:29,0,0,0,0,0,0,0,0
2024-07-09 22:01:30,0,0,0,0,0,0,0,0
2024-07-09 22:01:31,0.393,38.7,0,0,0,0,0,0
2024-07-09 22:01:32,0,0,0,0,0,0,0,0
2024-07-09 22:01:33,0,0,0,0,0,0,0,0
2024-07-09 22:01:34,0.366,37.1,0,0,0,0,0,0
2024-07-09 22:01:35,0,0,0,0,0,0,0,0
2024-07-09 22:01:36,0,0,0,0,0,0,0,0
2024-07-09 22:01:37,0.444,45.2,0,0,0,0,0,0
2024-07-09 22:01:38,0,0,0,0,0,0,0,0
2024-07-09 22:01:39,0,0,0,0,0,0,0,0
2024-07-09 22:01:40,0.426,43.4,0,0,0,0,0,0
2024-07-09 22:01:41,0,0,0,0,0,0,0,0
2024-07-09 22:01:42,0,0,0,0,0,0,0,0
2024-07-09 22:01:43,0.408,36.8,0,0,0,0,0,0
2024-07-09 22:01:44,0,0,0,0,0,0,0,0
2024-07-09 22:01:45,0,0,0,0,0,0,0,0
2024-07-09 22:01:46,0.426,40.4,0,0,0,0,0,0
2024-07-09 22:01:47,0,0,0,0,0,0,0,0
2024-07-09 22:01:48,0,0,0,0,0,0,0,0
2024-07-09 22:01:49,0.435,39.0,0,0,0,0,0,0
2024-07-09 22:01:50,0,0,0,0,0,0,0,0
2024-07-09 22:01:51,0,0,0,0,0,0,0,0
2024-07-09 22:01:52,0.399,39.4,0,0,0,0,0,0
2024-07-09 22:01:53,0,0,0,0,0,0,0,0
2024-07-09 22:01:54,0,0,0,0,0,0,0,0
2024-07-09 22:01:55,0.462,43.2,0,0,0,0,0,0
2024-07-09 22:01:56,0,0,0,0,0,0,0,0
2024-07-09 22:01:57,0,0,0,0,0,0,0,0
2024-07-09 22:01:58,0.414,41.5,0,0,0,0,0,0
2024-07-09 22:01:59,0,0,0,0,0,0,0,0
2024-07-09 22:02:00,0,0,0,0,0,0,0,0
2024-07-09 22:02:01,0.405,38.7,0,0,0,0,0,0
2024-07-09 22:02:02,0,0,0,0,0,0,0,0
2024-07-09 22:02:03,0,0,0,0,0,0,0,0
2024-07-09 22:02:04,0.426,39.9,0,0,0,0,0,0
2024-07-09 22:02:05,0,0,0,0,0,0,0,0
2024-07-09 22:02:06,0,0,0,0,0,0,0,0
2024-07-09 22:02:07,0.324,41.0,0,0,0,0,0,0
2024-07-09 22:02:08,0,0,0,0,0,0,0,0
2024-07-09 22:02:09,0,0,0,0,0,0,0,0
2024-07-09 22:02:10,0.420,39.9,0,0,0,0,0,0
2024-07-09 22:02:11,0,0,0,0,0,0,0,0
2024-07-09 22:02:12,0,0,0,0,0,0,0,0
2024-07-09 22:02:13,0.399,41.4,0,0,0,0,0,0
2024-07-09 22:02:14,0,0,0,0,0,0,0,0
2024-07-09 22:02:15,0,0,0,0,0,0,0,0
2024-07-09 22:02:16,0.414,39.9,0,0,0,0,0,0
2024-07-09 22:02:17,0,0,0,0,0,0,0,0
2024-07-09 22:02:18,0,0,0,0,0,0,0,0
2024-07-09 22:02:19,0.348,39.4,0,0,0,0,0,0
2024-07-09 22:02:20,0,0,0,0,0,0,0,0
2024-07-09 22:02:21,0,0,0,0,0,0,0,0
2024-07-09 22:02:22,0.426,36.6,0,0,0,0,0,0
2024-07-09 22:02:23,0,0,0,0,0,0,0,0
2024-07-09 22:02:24,0,0,0,0,0,0,0,0
2024-07-09 22:02:25,0.507,38.3,0,0,0,0,0,0
2024-07-09 22:02:26,0,0,0,0,0,0,0,0
2024-07-09 22:02:27,0,0,0,0,0,0,0,0
2024-07-09 22:02:28,0.375,36.4,0,0,0,0,0,0
2024-07-09 22:02:29,0,0,0,0,0,0,0,0
2024-07-09 22:02:30,0,0,0,0,0,0,0,0
2024-07-09 22:02:31,0.459,40.0,0,0,0,0,0,0
2024-07-09 22:02:32,0,0,0,0,0,0,0,0
2024-07-09 22:02:33,0,0,0,0,0,0,0,0
2024-07-09 22:02:34,0.408,43.6,0,0,0,0,0,0
2024-07-09 22:02:35,0,0,0,0,0,0,0,0
2024-07-09 22:02:36,0,0,0,0,0,0,0,0
2024-07-09 22:02:37,0.465,44.0,0,0,0,0,0,0
2024-07-09 22:02:38,0,0,0,0,0,0,0,0
2024-07-09 22:02:39,0,0,0,0,0,0,0,0
2024-07-09 22:02:40,0.419,42.1,0,0,0,0,0,0
2024-07-09 22:02:41,0,0,0,0,0,0,0,0
2024-07-09 22:02:42,0,0,0,0,0,0,0,0
2024-07-09 22:02:43,0.440,40.4,0,0,0,0,0,0
2024-07-09 22:02:44,0,0,0,0,0,0,0,0
2024-07-09 22:02:45,0,0,0,0,0,0,0,0
2024-07-09 22:02:46,0.534,41.9,0,0,0,0,0,0
2024-07-09 22:02:47,0,0,0,0,0,0,0,0
2024-07-09 22:02:48,0,0,0,0,0,0,0,0
2024-07-09 22:02:49,0.420,38.1,0,0,0,0,0,0
2024-07-09 22:02:50,0,0,0,0,0,0,0,0
2024-07-09 22:02:51,0,0,0,0,0,0,0,0
2024-07-09 22:02:52,0.456,40.3,0,0,0,0,0,0
2024-07-09 22:02:53,0,0,0,0,0,0,0,0
2024-07-09 22:02:54,0,0,0,0,0,0,0,0
2024-07-09 22:02:55,0.387,37.9,0,0,0,0,0,0
2024-07-09 22:02:56,0,0,0,0,0,0,0,0
2024-07-09 22:02:57,0,0,0,0,0,0,0,0
2024-07-09 22:02:58,0.438,39.1,0,0,0,0,0,0
2024-07-09 22:02:59,0,0,0,0,0,0,0,0
2024-07-09 22:03:00,0,0,0,0,0,0,0,0
2024-07-09 22:03:01,0.393,38.6,0,0,0,0,0,0
2024-07-09 22:03:02,0,0,0,0,0,0,0,0
2024-07-09 22:03:03,0,0,0,0,0,0,0,0
2024-07-09 22:03:04,0.423,43.6,0,0,0,0,0,0
2024-07-09 22:03:05,0,0,0,0,0,0,0,0
2024-07-09 22:03:06,0,0,0,0,0,0,0,0
2024-07-09 22:03:07,0.429,39.4,0,0,0,0,0,0
2024-07-09 22:03:08,0,0,0,0,0,0,0,0
2024-07-09 22:03:09,0,0,0,0,0,0,0,0
2024-07-09 22:03:10,0.435,44.7,0,0,0,0,0,0
2024-07-09 22:03:11,0,0,0,0,0,0,0,0
2024-07-09 22:03:12,0,0,0,0,0,0,0,0
2024-07-09 22:03:13,0.429,38.1,0,0,0,0,0,0
2024-07-09 22:03:14,0,0,0,0,0,0,0,0
2024-07-09 22:03:15,0,0,0,0,0,0,0,0
2024-07-09 22:03:16,0.438,37.9,0,0,0,0,0,0
2024-07-09 22:03:17,0,0,0,0,0,0,0,0
2024-07-09 22:03:18,0,0,0,0,0,0,0,0
2024-07-09 22:03:19,0.372,42.0,0,0,0,0,0,0
2024-07-09 22:03:20,0,0,0,0,0,0,0,0
2024-07-09 22:03:21,0,0,0,0,0,0,0,0
2024-07-09 22:03:22,0.402,43.1,0,0,0,0,0,0
2024-07-09 22:03:23,0,0,0,0,0,0,0,0
2024-07-09 22:03:24,0,0,0,0,0,0,0,0
2024-07-09 22:03:25,0.498,39.3,0,0,0,0,0,0
2024-07-09 22:03:26,0,0,0,0,0,0,0,0
2024-07-09 22:03:27,0,0,0,0,0,0,0,0
2024-07-09 22:03:28,0.474,37.0,0,0,0,0,0,0
2024-07-09 22:03:29,0,0,0,0,0,0,0,0
2024-07-09 22:03:30,0,0,0,0,0,0,0,0
2024-07-09 22:03:31,0.426,39.9,0,0,0,0,0,0
2024-07-09 22:03:32,0,0,0,0,0,0,0,0
2024-07-09 22:03:33,0,0,0,0,0,0,0,0
2024-07-09 22:03:34,0.435,44.9,0,0,0,0,0,0
2024-07-09 22:03:35,0,0,0,0,0,0,0,0
2024-07-09 22:03:36,0,0,0,0,0,0,0,0
2024-07-09 22:03:37,0.399,39.8,0,0,0,0,0,0
2024-07-09 22:03:38,0,0,0,0,0,0,0,0
2024-07-09 22:03:39,0,0,0,0,0,0,0,0
2024-07-09 22:03:40,0.510,41.4,0,0,0,0,0,0
2024-07-09 22:03:41,0,0,0,0,0,0,0,0
2024-07-09 22:03:42,0,0,0,0,0,0,0,0
2024-07-09 22:03:43,0.429,45.1,0,0,0,0,0,0
2024-07-09 22:03:44,0,0,0,0,0,0,0,0
2024-07-09 22:03:45,0,0,0,0,0,0,0,0
2024-07-09 22:03:46,0.516,40.3,0,0,0,0,0,0
2024-07-09 22:03:47,0,0,0,0,0,0,0,0
2024-07-09 22:03:48,0,0,0,0,0,0,0,0
2024-07-09 22:03:49,0.468,44.4,0,0,0,0,0,0
2024-07-09 22:03:50,0,0,0,0,0,0,0,0
2024-07-09 22:03:51,0,0,0,0,0,0,0,0
2024-07-09 22:03:52,0.438,41.9,0,0,0,0,0,0
2024-07-09 22:03:53,0,0,0,0,0,0,0,0
2024-07-09 22:03:54,0,0,0,0,0,0,0,0
2024-07-09 22:03:55,0.414,39.4,0,0,0,0,0,0
2024-07-09 22:03:56,0,0,0,0,0,0,0,0
2024-07-09 22:03:57,0,0,0,0,0,0,0,0
2024-07-09 22:03:58,0.420,42.5,0,0,0,0,0,0
2024-07-09 22:03:59,0,0,0,0,0,0,0,0
2024-07-09 22:04:00,0,0,0,0,0,0,0,0
2024-07-09 22:04:01,0.468,42.3,0,0,0,0,0,0
2024-07-09 22:04:02,0,0,0,0,0,0,0,0
2024-07-09 22:04:03,0,0,0,0,0,0,0,0
2024-07-09 22:04:04,0.432,40.3,0,0,0,0,0,0
2024-07-09 22:04:05,0,0,0,0,0,0,0,0
2024-07-09 22:04:06,0,0,0,0,0,0,0,0
2024-07-09 22:04:07,0.486,40.7,0,0,0,0,0,0
2024-07-09 22:04:08,0,0,0,0,0,0,0,0
2024-07-09 22:04:09,0,0,0,0,0,0,0,0
2024-07-09 22:04:10,0.447,43.5,0,0,0,0,0,0
2024-07-09 22:04:11,0,0,0,0,0,0,0,0
2024-07-09 22:04:12,0,0,0,0,0,0,0,0
2024-07-09 22:04:13,0.462,43.1,0,0,0,0,0,0
2024-07-09 22:04:14,0,0,0,0,0,0,0,0
2024-07-09 22:04:15,0,0,0,0,0,0,0,0
2024-07-09 22:04:16,0.504,40.9,0,0,0,0,0,0
2024-07-09 22:04:17,0,0,0,0,0,0,0,0
2024-07-09 22:04:18,0,0,0,0,0,0,0,0
2024-07-09 22:04:19,0.363,46.0,0,0,0,0,0,0
2024-07-09 22:04:20,0,0,0,0,0,0,0,0
2024-07-09 22:04:21,0,0,0,0,0,0,0,0
2024-07-09 22:04:22,0.447,41.0,0,0,0,0,0,0
2024-07-09 22:04:23,0,0,0,0,0,0,0,0
2024-07-09 22:04:24,0,0,0,0,0,0,0,0
2024-07-09 22:04:25,0.447,40.9,0,0,0,0,0,0
2024-07-09 22:04:26,0,0,0,0,0,0,0,0
2024-07-09 22:04:27,0,0,0,0,0,0,0,0
2024-07-09 22:04:28,0.492,37.4,0,0,0,0,0,0
2024-07-09 22:04:29,0,0,0,0,0,0,0,0
2024-07-09 22:04:30,0,0,0,0,0,0,0,0
2024-07-09 22:04:31,0.435,39.5,0,0,0,0,0,0
2024-07-09 22:04:32,0,0,0,0,0,0,0,0
2024-07-09 22:04:33,0,0,0,0,0,0,0,0
2024-07-09 22:04:34,0.420,37.9,0,0,0,0,0,0
2024-07-09 22:04:35,0,0,0,0,0,0,0,0
2024-07-09 22:04:36,0,0,0,0,0,0,0,0
2024-07-09 22:04:37,0.447,13.9,0,0,0,0,0,0
2024-07-09 22:04:38,0,0,0,0,0,0,0,0
2024-07-09 22:04:39,0,0,0,0,0,0,0,0
2024-07-09 22:04:40,0,0.438,0,0,0,0,0,0
2024-07-09 22:04:41,0,0,0,0,0,0,0,0
2024-07-09 22:04:42,0,0,0,0,0,0,0,0
2024-07-09 22:04:43,0,0.408,0,0,0,0,0,0
2024-07-09 22:04:44,0,0,0,0,0,0,0,0
2024-07-09 22:04:45,0,0,0,0,0,0,0,0
2024-07-09 22:04:46,0,0,0,0,0,0,0,0
2024-07-09 22:04:47,0,0,0,0,0,0,0,0
2024-07-09 22:04:48,0,0,0,0,0,0,0,0
2024-07-09 22:04:49,0,0,0,0,0,0,0,0
2024-07-09 22:04:50,0,0,0,0,0,0,0,0
2024-07-09 22:04:51,0,0,0,0,0,0,0,0
2024-07-09 22:04:52,0,0,0,0,0,0,0,0
2024-07-09 22:04:53,0,0,0,0,0,0,0,0
2024-07-09 22:04:54,0,0,0,0,0,0,0,0
2024-07-09 22:04:55,0,0,0,0,0,0,0,0
2024-07-09 22:04:56,0,0,0,0,0,0,0,0
2024-07-09 22:04:57,0,0,0,0,0,0,0,0
2024-07-09 22:04:58,0,0,0,0,0,0,0,0
2024-07-09 22:04:59,0,0,0,0,0,0,0,0
2024-07-09 22:05:00,0,0,0,0,0,0,0,0
2024-07-09 22:05:01,0,0,0,0,0,0,0,0
2024-07-09 22:05:02,0,0,0,0,0,0,0,0
2024-07-09 22:05:03,0,0,0,0,0,0,0,0
2024-07-09 22:05:04,0,0,0,0,0,0,0,0
2024-07-09 22:05:05,0,0,0,0,0,0,0,0
2024-07-09 22:05:06,0,0,0,0,0,0,0,0
2024-07-09 22:05:07,0,0,0,0,0,0,0,0
2024-07-09 22:05:08,0,0,0,0,0,0,0,0
2024-07-09 22:05:09,0,0,0,0,0,0,0,0
2024-07-09 22:05:10,0,0.465,0,0,0,0,0,0
2024-07-09 22:05:11,0,0,0,0,0,0,0,0
2024-07-09 22:05:12,0,0,0,0,0,0,0,0
2024-07-09 22:05:13,0,0.438,0,0,0,0,0,0
2024-07-09 22:05:14,0,0,0,0,0,0,0,0
2024-07-09 22:05:15,0,0,0,0,0,0,0,0
2024-07-09 22:05:16,0,0.597,0,0,0,0,0,0
2024-07-09 22:05:17,0,0,0,0,0,0,0,0
2024-07-09 22:05:18,0,0,0,0,0,0,0,0
2024-07-09 22:05:19,0,0.363,0,0,0,0,0,0
2024-07-09 22:05:20,0,0,0,0,0,0,0,0
2024-07-09 22:05:21,0,0,0,0,0,0,0,0
2024-07-09 22:05:22,0,0.444,0,0,0,0,0,0
2024-07-09 22:05:23,0,0,0,0,0,0,0,0
2024-07-09 22:05:24,0,0,0,0,0,0,0,0
2024-07-09 22:05:25,0,0.552,0,0,0,0,0,0
2024-07-09 22:05:26,0,0,0,0,0,0,0,0
2024-07-09 22:05:27,0,0,0,0,0,0,0,0
2024-07-09 22:05:28,0,0.456,0,0,0,0,0,0
2024-07-09 22:05:29,0,0,0,0,0,0,0,0
2024-07-09 22:05:30,0,0,0,0,0,0,0,0
2024-07-09 22:05:31,0,0.516,0,0,0,0,0,0
2024-07-09 22:05:32,0,0,0,0,0,0,0,0
2024-07-09 22:05:33,0,0,0,0,0,0,0,0
2024-07-09 22:05:34,0.408,0,0,0,0,0,0,0
2024-07-09 22:05:35,0,0,0,0,0,0,0,0
2024-07-09 22:05:36,0,0,0,0,0,0,0,0
